index;mesh_consistency;depth;volume;surface;s_v_ratio;B_total;B_total_norm;alpha;aspect_ratio_xz_mean;aspect_ratio_xz_std;aspect_ratio_xz_max;aspect_ratio_yz_mean;aspect_ratio_yz_std;aspect_ratio_yz_max;aspect_ratio_xy_mean;aspect_ratio_xy_std;aspect_ratio_xy_max;aspect_ratio_circ_mean;aspect_ratio_circ_std;aspect_ratio_circ_max;aspect_ratio_frontal_xy_mean;aspect_ratio_frontal_xy_std;aspect_ratio_frontal_xy_max;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;3.74033;4.37814;20.9458;4.784177756;2.128864612;0.569164916;7.167784566;1.626663079;0.895889929;0.748175963;0.31897324;0.111633684;0.168593948;4.925781275;0.977758861;4.437739158;3.439118979;3.439118979;1.602540418;1.136880692;0.207415943;1.844556825;;3.080645328;0.762572567;2.348357178;1.258122359;1.258122359;0.739512805;1.537493155;0.538520038;1.577855846
2;1;3.70886;4.24913;20.7707;4.888224178;2.099305129;0.566024366;7.603078658;1.640211972;0.887696523;0.760906316;0.310294496;0.102647757;0.165713184;5.097030888;1.071207632;4.59170657;3.470650998;3.470650998;1.631738594;1.397685563;0.253559601;2.190170304;;;;;;;;;;
3;1;3.70922;4.15248;20.9992;5.057026163;2.074255995;0.559216222;7.830762073;1.653122497;0.879398508;0.773760521;0.295846527;0.090519796;0.164217275;5.399915734;1.278645307;4.711809534;3.490403732;3.490403732;1.653668426;1.426303716;0.289550412;2.19649723;;;;;;;;;;
4;0;3.70914;4.03482;21.3413;5.289281802;2.053679151;0.553680678;8.145806511;1.683592322;0.848246415;0.777902155;0.285909441;0.080318537;0.169331705;5.702595944;1.42510084;4.593954544;3.539023357;3.539023357;1.658691772;1.327664729;0.287131122;2.008492616;;;;;;;;;;
5;1;3.78744;3.92143;21.7993;5.559018011;2.048378513;0.540834578;8.462026006;1.663352959;0.805131569;0.770404284;0.268727697;0.071327091;0.165208426;6.007968904;1.494462433;4.663226347;3.488241005;3.488241005;1.631870076;1.538995308;0.305950434;2.202842499;;;;;;;;;;
6;1;3.8899;3.77055;22.0929;5.859330867;1.996295226;0.513199626;8.462898567;1.572841271;0.666734091;0.744339443;0.249410255;0.060945285;0.157490681;6.161058569;1.353163611;4.726244362;3.294067252;3.294067252;1.574644592;1.725974202;0.338110014;2.361537193;;;;;;;;;;
7;1;3.9361;3.89039;23.1337;5.946370415;2.062348682;0.52395739;8.443447625;1.646027561;0.739014907;0.770553594;0.239430233;0.055209731;0.152240035;6.678762509;1.658641343;5.061438641;3.425070146;3.425070146;1.62359188;1.667338853;0.313866438;2.354113265;;;;;;;;;;
8;1;3.986;3.81607;23.3369;6.115427652;2.079516953;0.521705207;8.180819236;1.626178317;0.739628824;0.762685148;0.222876811;0.04618094;0.146270948;7.103594072;2.020863907;5.214194321;3.377817505;3.377817505;1.603893628;1.635132931;0.329314162;2.306180064;;;;;;;;;;
9;1;4.06536;3.72258;23.5538;6.327278393;2.058855216;0.506438597;7.796189789;1.573020863;0.690814746;0.753401913;0.201520415;0.034591488;0.140398882;7.704095465;2.660045354;5.36615321;3.26096746;3.26096746;1.580263494;1.555289063;0.381157337;2.139092317;;;;;;;;;;
10;1;4.14015;3.57327;23.3561;6.536337864;1.939329895;0.468420201;7.521267751;1.490953027;0.561288626;0.73860464;0.18003927;0.029394244;0.135163702;8.396098253;3.193650162;5.464519173;3.085888089;3.085888089;1.546180694;1.750935112;0.589791183;2.154864742;;;;;;;;;;
11;1;4.23224;3.52077;23.5679;6.693961832;1.917644453;0.453103901;7.014313663;1.412803547;0.453287396;0.726063976;0.165361958;0.027992929;0.129719959;8.74906636;3.113508644;5.597164694;2.917123479;2.917123479;1.530659887;1.77294337;0.592703349;2.13336102;;;;;;;;;;
12;1;4.31223;3.47755;22.6954;6.526261305;1.925796398;0.446589444;6.424821683;1.147922548;0.263680649;0.725069396;0.157854508;0.027968829;0.124006373;7.531405306;2.391935296;5.847033347;2.391173338;2.391173338;1.521451778;2.049026387;0.755053877;2.279169098;;;;;;;;;;
13;1;4.43131;3.48808;22.8835;6.560485998;2.137659327;0.482398958;5.972423882;1.058471632;0.256639719;0.706557429;0.147702604;0.027127199;0.119677703;7.495552914;2.666064885;5.903835166;2.184907447;2.184907447;1.480417755;1.878615787;0.584907186;2.190726888;;;;;;;;;;
14;1;4.57548;3.43851;23.2327;6.756618419;2.118475622;0.463006203;5.205130573;1.00180534;0.226030624;0.681763881;0.136050232;0.027162266;0.113793307;7.760528861;2.753078166;5.99124763;2.076317799;2.076317799;1.42632467;2.036569051;0.716234823;2.185034735;;;;;;;;;;
15;1;4.8879;3.30161;23.3315;7.06670382;2.24993356;0.46030679;4.937544374;0.835239524;0.236071004;0.636119397;0.116688749;0.026565877;0.103820045;7.550470965;2.934957173;6.127134643;1.73585714;1.73585714;1.321870333;2.17252102;0.763899817;2.188423961;;;;;;;;;;
16;0;5.00124;3.41619;23.597;6.907402691;2.180547327;0.436001337;3.756895079;0.844605922;0.136041109;0.627875287;0.118643658;0.029921097;0.101534819;7.36336254;1.568245004;6.183842064;1.756048577;1.756048577;1.309957131;1.797405491;0.583486962;1.924907444;;;;;;;;;;
17;1;5.06329;3.49421;24.6535;7.055529004;2.331103423;0.46039303;3.055194961;0.881161648;0.12844237;0.619915114;0.116979616;0.031796827;0.098718817;7.879161982;1.894227981;6.279604355;1.825502175;1.825502175;1.293370516;2.250952713;0.789722128;2.197990565;;;;;;;;;;
