index;mesh_consistency;depth;volume;surface;s_v_ratio;B_total;B_total_norm;alpha;aspect_ratio_xz_mean;aspect_ratio_xz_std;aspect_ratio_xz_max;aspect_ratio_yz_mean;aspect_ratio_yz_std;aspect_ratio_yz_max;aspect_ratio_xy_mean;aspect_ratio_xy_std;aspect_ratio_xy_max;aspect_ratio_circ_mean;aspect_ratio_circ_std;aspect_ratio_circ_max;aspect_ratio_frontal_xy_mean;aspect_ratio_frontal_xy_std;aspect_ratio_frontal_xy_max;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;4.52219;1.12054;10.5771;9.4392882;3.429356799;0.758339831;-2.136993725;0.554254415;0.419566791;0.240744418;0.160792912;0.111776553;0.088567265;3.390263684;0.537498541;2.718209918;1.216993077;1.216993077;0.513571964;3.205734749;0.694937614;3.634643137;;3.956461798;1.247992173;3.010263766;1.874137518;1.874137518;0.918538726;2.424209952;0.946464834;2.24591279
2;1;4.50831;1.13198;10.5333;9.305199739;3.585439977;0.795295793;-2.283467995;0.561974163;0.437051466;0.231413323;0.166711324;0.120136222;0.08795491;3.319270176;0.511680391;2.63104497;1.240075944;1.240075944;0.50353902;2.925609634;0.59032072;3.530731752;;;;;;;;;;
3;1;4.49529;1.51404;14.8614;9.815724816;3.948209562;0.878299189;-2.263432791;0.953603648;0.625087056;0.480025983;0.172446837;0.127048357;0.087918466;5.586024112;2.175937013;5.459899448;2.019158269;2.019158269;0.985624954;2.830599726;0.554168837;3.466012515;;;;;;;;;;
4;1;4.49353;1.50705;14.3759;9.539099565;3.868996452;0.861014938;-2.165124849;0.865836688;0.509398006;0.481201861;0.179277197;0.132963421;0.089047141;5.141617788;2.172954352;5.403900174;1.854700137;1.854700137;0.991481085;2.685365759;0.500265863;3.327008817;;;;;;;;;;
5;0;4.512;1.60223;14.7724;9.219899765;3.96784507;0.879398287;-2.04624656;0.895209511;0.535787273;0.479648271;0.188718945;0.138274171;0.089600177;5.008512938;2.002690305;5.35320672;1.918286772;1.918286772;0.989091312;2.604901057;0.449445457;3.365774867;;;;;;;;;;
6;1;4.44753;1.29893;11.1035;8.548189664;4.081432494;0.917685208;-2.11209845;0.635365428;0.51075797;0.262692101;0.196901887;0.148742878;0.090754194;3.195677194;0.429597757;2.894545031;1.413150746;1.413150746;0.577664456;2.356074759;0.443053461;3.051071273;;;;;;;;;;
7;1;4.43145;1.37191;11.3491;8.272481431;4.230270942;0.95460198;-2.266692299;0.65459066;0.499744232;0.26446671;0.210785608;0.165665914;0.097989371;3.188450808;0.507920567;2.698932606;1.463865087;1.463865087;0.604488373;2.114559999;0.45179432;2.67821341;;;;;;;;;;
8;1;4.42966;1.38726;11.2363;8.099635252;4.386621395;0.990283994;-2.108363576;0.647182528;0.496857498;0.265325781;0.222055555;0.180872131;0.106352632;3.051494053;0.508333543;2.494774;1.461444482;1.461444482;0.614110338;2.073599536;0.451973413;2.467410731;;;;;;;;;;
9;1;4.4287;1.50233;11.9706;7.968023004;4.29155404;0.969032456;-2.025909591;0.702436449;0.493299432;0.299734459;0.234093017;0.192690029;0.113076975;3.308418644;0.953431692;2.650711684;1.579896407;1.579896407;0.634068688;2.079663803;0.473081547;2.339547589;;;;;;;;;;
10;1;4.42962;1.49585;11.7509;7.855667346;4.336359498;0.978946162;-1.861254599;0.680416303;0.478363948;0.283169888;0.23954889;0.197660279;0.116382444;3.133465595;0.863168401;2.433097977;1.546434571;1.546434571;0.621150347;1.900525277;0.41306605;2.196054546;;;;;;;;;;
11;1;4.41536;1.51977;11.853;7.799206459;4.342485904;0.983495322;-1.708571914;0.692669046;0.488858389;0.288422009;0.243073589;0.202145898;0.117891633;3.160524916;0.911365998;2.446501093;1.574158534;1.574158534;0.628974761;1.828316405;0.397594485;2.109087975;;;;;;;;;;
12;1;4.43068;1.48848;11.6875;7.851969795;4.252794;0.95985131;-1.504552973;0.674235741;0.471952684;0.281164065;0.237078839;0.19408531;0.114771096;3.141988842;0.894055327;2.449781127;1.533157087;1.533157087;0.609240568;1.879647285;0.412924223;2.157513854;;;;;;;;;;
13;1;4.44738;1.56699;12.6539;8.075290844;4.086551062;0.918867077;-2.415981035;0.739153758;0.465710432;0.338078824;0.230408169;0.184746959;0.112778984;3.643894898;1.239237554;2.997711191;1.645482058;1.645482058;0.706674491;2.045238729;0.476743148;2.489171025;;;;;;;;;;
14;1;4.46528;1.52486;12.4247;8.148092284;3.999244238;0.895631234;-3.012202682;0.716652146;0.461079231;0.299401157;0.221279666;0.172505109;0.107736133;3.577737081;1.039977966;2.779022683;1.593163077;1.593163077;0.638528827;2.042664144;0.441868454;2.661946652;;;;;;;;;;
15;0;4.51223;1.45817;12.2023;8.36822867;3.982385274;0.88257586;-2.176316329;0.694452117;0.467112444;0.291295435;0.208857184;0.156439123;0.10213287;3.554397215;1.009308175;2.852122288;1.538565083;1.538565083;0.617632523;2.207358996;0.484453305;2.798390789;;;;;;;;;;
16;1;4.54656;1.42753;12.2481;8.579924765;3.948286394;0.868411809;-2.805229453;0.69936419;0.473278514;0.283751232;0.196820823;0.14226388;0.096118384;3.706711495;0.997207427;2.952101563;1.531815834;1.531815834;0.614605328;2.285418167;0.516186615;3.102359682;;;;;;;;;;
17;1;4.58006;1.34043;11.8201;8.818140447;3.911235681;0.853970402;-2.119803641;0.645918783;0.428030678;0.273146203;0.182487328;0.127250386;0.091037017;3.647085302;0.763291469;3.000386133;1.416700674;1.416700674;0.598572944;2.256656141;0.533082105;2.983919128;;;;;;;;;;
18;1;4.62815;1.26771;11.6362;9.178913158;3.821041115;0.825608745;-1.440387576;0.619083626;0.407942653;0.254569536;0.168476301;0.11270681;0.087675853;3.744018596;0.77823795;2.903530757;1.35382911;1.35382911;0.5580718;2.337449923;0.531384099;2.937510012;;;;;;;;;;
19;1;4.64551;1.20355;11.333;9.416310083;3.730011456;0.802928302;-0.411362393;0.585695444;0.38516795;0.243373709;0.159322628;0.103706677;0.085409783;3.736142436;0.758334492;2.849482826;1.284548877;1.284548877;0.523563613;2.202399728;0.484182504;2.573840896;;;;;;;;;;
20;1;4.65882;1.51573;14.7873;9.7558932;3.930751925;0.843722643;-0.698258814;0.836484486;0.486541145;0.484892956;0.164369409;0.10469811;0.086996493;5.285642409;2.400873237;5.573706949;1.787650312;1.787650312;0.996533457;1.954690854;0.392878288;2.403171964;;;;;;;;;;
21;1;4.65959;1.47387;14.6745;9.956441206;3.992703832;0.856878788;-1.548151755;0.850935295;0.52953885;0.485829225;0.155931395;0.095724305;0.085646377;5.469403124;2.544126507;5.672501798;1.804892871;1.804892871;0.996252889;2.214600983;0.498582074;2.802511796;;;;;;;;;;
22;1;4.66126;1.03468;10.7448;10.38465999;3.748818181;0.804249963;-0.886584454;0.577793039;0.479286375;0.245034604;0.131721935;0.075096397;0.080206854;4.010760849;0.940423265;3.055033234;1.239402959;1.239402959;0.513438427;2.432860221;0.52405844;2.595487676;;;;;;;;;;
23;1;4.6604;1.0002;10.5666;10.5644871;3.717473847;0.797672699;-0.926521484;0.563081586;0.472934649;0.241256974;0.125494252;0.06731947;0.079187838;4.054233977;1.047470842;3.046641756;1.205279758;1.205279758;0.500137327;2.353037911;0.54549862;2.446680233;;;;;;;;;;
