index;mesh_consistency;depth;volume;surface;s_v_ratio;B_total;B_total_norm;alpha;aspect_ratio_xz_mean;aspect_ratio_xz_std;aspect_ratio_xz_max;aspect_ratio_yz_mean;aspect_ratio_yz_std;aspect_ratio_yz_max;aspect_ratio_xy_mean;aspect_ratio_xy_std;aspect_ratio_xy_max;aspect_ratio_circ_mean;aspect_ratio_circ_std;aspect_ratio_circ_max;aspect_ratio_frontal_xy_mean;aspect_ratio_frontal_xy_std;aspect_ratio_frontal_xy_max;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;4.99415;3.2726;16.1933;4.948145206;4.751216094;0.951356306;-1.226486022;0.681506716;0.423139203;0.27552136;0.3624988;0.247075976;0.170541133;2.096592517;0.497155406;1.615571299;1.697094061;1.697094061;0.704021705;1.071294024;0.39567263;1.544930892;;3.446253831;1.085888035;2.644318577;1.762156502;1.762156502;0.862937919;3.604242045;1.2533298;3.178592936
2;1;4.94663;2.70323;15.5851;5.765362178;5.211480158;1.053541534;-0.098917959;0.76358911;0.53453061;0.304129276;0.289892751;0.208548252;0.134077746;2.829489682;0.503710763;2.268305407;1.748732784;1.748732784;0.721222327;1.327933628;0.488592643;2.040441293;;;;;;;;;;
3;1;4.9187;2.61815;15.7762;6.025705174;5.55508014;1.129379743;0.990222094;0.765712201;0.4618418;0.363387887;0.289909185;0.239393311;0.147491004;3.351199703;1.187713391;2.463796963;1.752383334;1.752383334;0.766566369;1.455783516;0.645065231;1.748651897;;;;;;;;;;
4;1;4.91924;2.62109;15.7929;6.025317711;5.366686057;1.090958371;1.932876732;0.755984269;0.450530847;0.359146332;0.285945986;0.241229755;0.141099438;3.3428893;1.171340484;2.545342039;1.736725;1.736725;0.76098747;1.467853263;0.569013515;1.951900441;;;;;;;;;;
5;0;4.88828;2.74598;15.7156;5.723129812;5.111130393;1.045588713;2.597743734;0.724976957;0.406148286;0.335989551;0.313247747;0.266014565;0.160152037;2.977223725;0.919872077;2.09794116;1.719738619;1.719738619;0.77725294;1.681964792;0.62973322;1.756477465;;;;;;;;;;
6;1;4.85057;2.9871;16.0518;5.37370694;5.331915986;1.099234932;1.33442306;0.780742639;0.450806109;0.393383252;0.320602142;0.241679651;0.15244229;2.743738253;0.506390829;2.580538846;1.821541272;1.821541272;0.88169844;1.527670671;0.466988012;1.612824438;;;;;;;;;;
7;1;4.89976;3.47987;17.9152;5.148238296;4.592379347;0.937266182;2.336248745;0.825084545;0.358445545;0.447955206;0.320394654;0.213703611;0.145079759;2.986425542;0.783407008;3.08764785;1.904602038;1.904602038;0.979313272;1.447780078;0.363637668;1.829672958;;;;;;;;;;
8;1;4.88072;4.20508;18.8041;4.471757969;4.397249406;0.900942772;3.629828105;0.83721629;0.361015938;0.435864381;0.361133183;0.222515817;0.159335303;2.623127018;0.523251072;2.73551669;1.976554647;1.976554647;0.984442869;1.525768186;0.499451232;2.007771924;;;;;;;;;;
9;1;4.93213;3.74942;18.8538;5.028457735;4.017108391;0.814477394;4.308863203;0.841808346;0.330485207;0.440221162;0.290730161;0.161117245;0.132112901;3.235708885;0.672789297;3.332158785;1.899464232;1.899464232;0.963453924;1.553043499;0.542259637;2.345501367;;;;;;;;;;
10;1;4.89512;4.09636;18.9751;4.632185648;4.269254844;0.872145084;4.234039107;0.857230835;0.361259845;0.427143563;0.324394857;0.172091078;0.160777877;2.885952199;0.579633486;2.656730963;1.956332989;1.956332989;0.960779307;1.422945853;0.585722365;1.999740797;;;;;;;;;;
11;1;4.88435;4.37033;19.1595;4.383993886;4.1374429;0.847081577;3.878216544;0.842632842;0.339099785;0.418317074;0.34488035;0.168674185;0.169165191;2.624913951;0.464801119;2.472831862;1.96065906;1.96065906;0.969273291;1.294070985;0.472808791;1.879263478;;;;;;;;;;
