index;mesh_consistency;depth;volume;surface;s_v_ratio;B_total;B_total_norm;alpha;aspect_ratio_xz_mean;aspect_ratio_xz_std;aspect_ratio_xz_max;aspect_ratio_yz_mean;aspect_ratio_yz_std;aspect_ratio_yz_max;aspect_ratio_xy_mean;aspect_ratio_xy_std;aspect_ratio_xy_max;aspect_ratio_circ_mean;aspect_ratio_circ_std;aspect_ratio_circ_max;aspect_ratio_frontal_xy_mean;aspect_ratio_frontal_xy_std;aspect_ratio_frontal_xy_max;;;;;;;;;;
18;0;4.34249;1.01997;9.95757;9.762610665;2.598029262;0.598281001;-0.349252909;0.522863335;0.392856295;0.252201617;0.12275891;0.041507818;0.10002464;3.926439564;1.340531129;2.521394893;1.125166584;1.125166584;0.58561102;1.096009489;0.406378681;0.972874785;;;;;;;;;;
19;0;4.37246;1.13247;11.1881;9.879378703;2.892958172;0.661631707;-0.129946335;0.627303045;0.598638228;0.315228041;0.124186978;0.040474524;0.100485768;4.446044462;2.153725673;3.137041673;1.334301071;1.334301071;0.645609108;2.020507362;0.703913705;1.593436056;;;;;;;;;;
20;1;4.40876;1.08768;10.1063;9.291611503;2.310181122;0.523997932;-0.20335622;0.477263774;0.234019222;0.290597129;0.115935656;0.033813176;0.097715911;3.974592512;0.765720997;2.973897764;1.028509566;1.028509566;0.650876891;1.790911379;0.663146735;1.365941979;;;;;;;;;;
21;1;4.44093;1.25034;11.0567;8.842954716;2.613408598;0.588482277;-1.177064761;0.548797883;0.33345266;0.311024267;0.13207568;0.047575008;0.100823927;3.918952022;0.80073469;3.084825975;1.182963508;1.182963508;0.695437667;1.674175277;0.605917522;1.486412121;;;;;;;;;;
22;1;4.52662;1.36821;11.8828;8.684924098;3.018631208;0.666862076;-0.773179599;0.586879916;0.421437547;0.318738264;0.138579583;0.054927532;0.099936597;3.914225016;0.913357503;3.189404808;1.266772947;1.266772947;0.71160822;2.063366588;0.591355039;1.89492346;;;;;;;;;;
23;1;4.56217;1.34204;11.94;8.896903222;3.072840572;0.67354802;-0.330953573;0.578915581;0.402549072;0.325690187;0.132660382;0.054528867;0.09673401;4.087317676;0.885423882;3.366863275;1.244446061;1.244446061;0.711790661;2.158806998;0.578657524;1.901961628;;;;;;;;;;
24;1;4.57851;1.4859;12.7744;8.597079211;3.204929065;0.699993899;-0.807855829;0.630191586;0.409626461;0.333688034;0.15059228;0.074696104;0.097962219;4.060711844;0.549162305;3.406293128;1.364136857;1.364136857;0.72970901;2.019578337;0.467221553;1.998684565;;;;;;;;;;
25;1;4.58789;1.43034;12.3639;8.644028692;3.235977822;0.705330298;-0.548562425;0.60248369;0.38741633;0.314251867;0.1514262;0.082601331;0.095418373;3.927401018;0.476501458;3.293410452;1.310464097;1.310464097;0.700402582;2.029219732;0.431186745;1.987683002;;;;;;;;;;
26;0;4.59152;1.89356;18.1898;9.606138702;3.04177965;0.662477709;-0.564355381;0.943386866;0.341407638;0.590352868;0.158521093;0.096409068;0.094924339;7.112842122;3.298131826;6.219193891;1.983689278;1.983689278;1.197376904;2.030791589;0.420345768;2.046144633;;;;;;;;;;
27;1;4.60466;2.07405;19.137;9.226874955;3.10344581;0.673979362;-0.470562102;0.999491911;0.340401421;0.577217862;0.174258891;0.115120936;0.098101706;7.039063565;2.992163207;5.883871825;2.106902371;2.106902371;1.171009369;2.144031729;0.45510537;2.243289612;;;;;;;;;;
28;0;4.60404;2.20501;19.6564;8.914426692;3.272842092;0.710863088;-0.498374579;1.053745107;0.375709747;0.569833668;0.188155272;0.132243194;0.09930713;6.973658013;2.888271069;5.738094197;2.226907439;2.226907439;1.156356157;1.995346494;0.462068803;2.101759789;;;;;;;;;;
29;1;4.62132;2.00339;17.3653;8.667957812;3.560296395;0.770406809;1.213473535;0.951614287;0.455551597;0.549547532;0.191938914;0.139454798;0.096132707;6.035334289;3.012940561;5.716551119;2.032987557;2.032987557;1.11810262;1.692717172;0.377568315;1.988871382;;;;;;;;;;
30;1;4.63799;2.82938;22.8035;8.059539546;3.383741563;0.72957069;-1.239562247;1.169196164;0.345560995;0.682769691;0.224141341;0.167408052;0.10417336;6.950593942;2.693023689;6.554167917;2.481956397;2.481956397;1.409565351;1.63945646;0.343849483;2.092343037;;;;;;;;;;
31;1;4.64136;2.00874;14.755;7.345400599;4.56199732;0.982900986;-0.672857526;0.830027202;0.574710989;0.380925634;0.220710076;0.168950737;0.104570428;3.930710633;0.65428883;3.642766339;1.806019849;1.806019849;0.822683438;1.715247975;0.38604774;2.03783257;;;;;;;;;;
