index;mesh_consistency;depth;volume;surface;s_v_ratio;B_total;B_total_norm;alpha;aspect_ratio_xz;aspect_ratio_yz;aspect_ratio_xy;aspect_ratio_circ
1;1;2.44102;1.34056;8.72775;6.51052545204989;1.90991392866866;0.782424531002882;15.8448080238519;0.513634054616513;0.332918206323586;1.54282356705141;1.36114820853578
2;1;2.4751;1.8417;10.1879;5.53179127979584;1.73550690597167;0.701186580732766;18.1470186841746;0.649470324431336;0.336335905619975;1.93101691963025;1.63071391054907
3;0;2.67616;1.64185;9.56327;5.82469165879952;1.48457841849729;0.55474202532632;17.5799932231981;0.582844822432142;0.289102295826856;2.01605048055795;1.4064256247758
4;1;2.49628;1.91365;9.99666;5.2238706137486;1.51699641967636;0.607702829681109;15.5486951243307;0.582226352812986;0.332626147707789;1.75039261593009;1.67320573012643
5;1;2.46926;2.20916;10.6624;4.82644987234967;1.56008975775085;0.631804572119115;14.8615391389851;0.604756080769137;0.329940548990386;1.83292439386333;1.76024800952512
6;1;2.55446;2.29572;10.7575;4.6858937501089;1.4694336575192;0.575242382937765;17.2988657850963;0.608082334426846;0.32404265480767;1.87655027943085;1.70976253298153
7;1;2.54073;2.15526;10.3123;4.78471274927387;1.32324548452781;0.520813106677142;18.0208001324896;0.672126121232874;0.32014735922353;2.09942734765333;1.72007651344299
8;1;2.64438;2.19522;10.6114;4.83386630952706;1.38641466177494;0.524287228679289;16.5868792586213;0.635142074890901;0.306552386570765;2.07188755565041;1.64511151952443
9;1;2.70654;2.25493;10.7668;4.77478236574971;1.36897916657612;0.505804150899717;16.6255637968567;0.630069387483651;0.308202354297369;2.04433671157401;1.57973279537712
10;1;2.75312;1.91391;10.8011;5.64347330856728;1.45289118151657;0.527725337622977;17.5083207744553;0.641228860347533;0.297946693206253;2.15215968147578;1.64656099261928
11;1;2.80654;1.65554;10.2994;6.22117254792998;1.48475615611148;0.529034382589054;18.0470384536612;0.553281620785736;0.288728469930947;1.91626970806883;1.39448929999216
12;1;2.72317;1.43655;9.69868;6.75136960077965;1.4665608719301;0.538549143803029;20.1512266176444;0.469598299041191;0.302628187002648;1.55173351065637;1.4319451227797
13;0;2.58255;1.307;9.16338;7.01100229533282;1.54817331058379;0.599474670609973;21.9648290151267;0.486893961394746;0.29746103657238;1.63683273280153;1.40225358657141
14;1;2.89601;1.41843;10.7758;7.59699103938862;1.92815741054958;0.665797911799194;24.9130393857769;0.425651154519494;0.271965221114568;1.56509406892209;1.30140434597947
15;1;2.84572;1.48838;10.3694;6.96690361332455;1.80278000997067;0.633505759516282;25.0383435941656;0.425572438609561;0.283684621115219;1.50016041383052;1.31067357294463
16;0;2.795;1.3499;9.67289;7.16563449144381;1.76360576766425;0.630985963386136;26.0782728185042;0.426384257602862;0.276861896243292;1.54006117630639;1.19670125223614
17;1;2.84535;1.3245;9.66258;7.29526613816535;1.77740936336815;0.624671609246016;25.9129846277448;0.403319802484756;0.278793118597009;1.44666340587749;1.19317834361326
18;1;2.7232;1.43316;9.84629;6.87033548243043;1.81879842122594;0.667890137054178;24.9950464923566;0.436355757931845;0.293661868390129;1.48591221708141;1.30276145710928
19;1;3.02945;1.3745;10.7943;7.85325572935613;2.14239614991018;0.707189803400016;29.7087114828558;0.393259502549968;0.259413094786182;1.51595856359567;1.19216689498094
20;1;2.92223;1.48577;10.7628;7.24392066066753;2.0043592064969;0.685900564465117;31.0795511475635;0.462217553033129;0.282892517016114;1.63389812466054;1.26742932623373
21;1;2.69091;1.52345;9.93304;6.5200958351111;1.63412555717061;0.607276184328207;27.1176273926526;0.563598559595081;0.309921179080683;1.81852224900176;1.42049343902249
22;1;2.68665;1.62364;10.8844;6.70370279125915;1.73544987855801;0.645953093465101;32.2814722673884;0.589054770811233;0.309597454078499;1.90264733463175;1.44140844546182
23;1;2.51293;1.42322;9.45196;6.64125012296061;1.56913049093267;0.624422682260416;26.292020988596;0.641266171361717;0.330139717381702;1.94240843376108;1.68835980309838
24;1;2.66294;1.42286;9.9096;6.96456432818408;1.59261214701759;0.59806535146026;24.7391938595416;0.550891120340676;0.301430749472388;1.82758766749887;1.51881003702674
25;1;3.0406;1.50609;11.3328;7.52464992131944;2.16003832031203;0.710398710883388;30.5511888502503;0.435277576794054;0.272295270670262;1.59854989667138;1.33583174373479
26;1;3.08238;1.61616;11.8618;7.33949608949609;2.02279807896487;0.656245524226369;35.5045880637878;0.401930002141203;0.273721280309371;1.46839150279775;1.38108539505188
27;1;2.89015;1.56164;12.3234;7.89131938218796;1.98705131719055;0.687525324703061;34.054736303947;0.425467190284241;0.264456170094978;1.608838206087;1.56007819663339
28;1;2.89343;1.20032;9.96347;8.30067815249267;2.25942838093894;0.780882337204958;29.5006921823926;0.38809578942639;0.268011667812942;1.44805557382398;1.25628752034782
29;0;2.85031;1.38;11.0148;7.98173913043478;1.92191922511216;0.674284279644026;31.7048779407417;0.49545979209279;0.265280267760349;1.86768430338129;1.40946423371493
30;0;2.64668;1.53578;11.0208;7.17602781648413;1.63726181584733;0.618609660347049;19.9589279516725;0.531377045959466;0.28864124110206;1.84096023122204;1.69017032659785
31;0;2.36828;1.65327;11.0115;6.66043658930483;1.67593363528972;0.707658568788203;11.4170263557981;0.564356410559562;0.323879355481615;1.74248960610766;1.97526474910061
32;1;2.8508;1.76194;12.383;7.02804862821662;1.86438756752364;0.653987500885241;24.2285794908711;0.497515083485337;0.268097376175109;1.85572529870782;1.5825487582433
