time;OCT-depth
-0.10027999999999992;6025.0
-0.10026599999999997;6025.0
-0.10025099999999987;6025.0
-0.10023699999999991;6025.0
-0.10022299999999995;6025.0
-0.10020899999999999;6025.0
-0.10019500000000003;6025.0
-0.10018100000000008;6025.0
-0.1001669999999999;6025.0
-0.10015200000000002;6025.0
-0.10013800000000006;6025.0
-0.10012399999999988;6025.0
-0.100109;6025.0
-0.10009500000000005;6025.0
-0.10008099999999986;6025.0
-0.10006599999999999;6025.0
-0.10005200000000003;6025.0
-0.10003800000000007;6025.0
-0.10002399999999989;6025.0
-0.10000900000000001;6025.0
-0.09999500000000006;6025.0
-0.09998099999999988;6025.0
-0.099966;6025.0
-0.09995200000000004;6025.0
-0.09993800000000008;6025.0
-0.09992299999999998;6025.0
-0.09990900000000003;6025.0
-0.09989500000000007;6025.0
-0.09988099999999989;6025.0
-0.09986600000000001;6025.0
-0.09985200000000005;6025.0
-0.09983799999999987;6025.0
-0.099823;6025.0
-0.09980900000000004;6025.0
-0.09979500000000008;6025.0
-0.09977999999999998;6025.0
-0.09976600000000002;6025.0
-0.09975200000000006;6025.0
-0.09973699999999996;6025.0
-0.099723;6025.0
-0.09970900000000005;6025.0
-0.09969499999999987;9325.0
-0.09967999999999999;9325.0
-0.09966600000000003;6025.0
-0.09965200000000007;6025.0
-0.09963699999999998;6025.0
-0.09962300000000002;6025.0
-0.09960900000000006;6025.0
-0.09959399999999996;6025.0
-0.09958;6025.0
-0.09956600000000004;6025.0
-0.09955099999999995;6025.0
-0.09953699999999999;6025.0
-0.09952399999999995;6025.0
-0.09950999999999999;6025.0
-0.09949499999999989;6025.0
-0.09948099999999993;6025.0
-0.09946699999999997;6025.0
-0.09945199999999987;6025.0
-0.09943799999999992;6025.0
-0.09942399999999996;6025.0
-0.09940900000000008;6025.0
-0.0993949999999999;6025.0
-0.09938099999999994;6025.0
-0.09936600000000007;6025.0
-0.09935199999999988;6025.0
-0.09933799999999993;6025.0
-0.09932399999999997;6025.0
-0.09930899999999987;6025.0
-0.09929499999999991;6025.0
-0.09928099999999995;6025.0
-0.09926600000000008;6025.0
-0.0992519999999999;6025.0
-0.09923799999999994;6025.0
-0.09922300000000006;6025.0
-0.09920899999999988;6025.0
-0.09919499999999992;6025.0
-0.09918099999999996;6025.0
-0.09916599999999987;6025.0
-0.0991519999999999;6025.0
-0.09913799999999995;6025.0
-0.09912300000000007;6025.0
-0.09910899999999989;6025.0
-0.09909499999999993;6025.0
-0.09908000000000006;6025.0
-0.09906599999999988;6025.0
-0.09905199999999992;6025.0
-0.09903700000000004;6025.0
-0.09902299999999986;6025.0
-0.0990089999999999;6025.0
-0.09899499999999994;6025.0
-0.09898000000000007;6025.0
-0.09896599999999989;6025.0
-0.09895199999999993;6025.0
-0.09893700000000005;6025.0
-0.09892299999999987;6025.0
-0.09890899999999991;6025.0
-0.09889400000000004;6025.0
-0.09888000000000008;6025.0
-0.0988659999999999;6025.0
-0.09885100000000002;6025.0
-0.09883700000000006;6025.0
-0.09882299999999988;6025.0
-0.09880899999999992;6025.0
-0.09879499999999997;6025.0
-0.09878100000000001;6025.0
-0.09876700000000005;6025.0
-0.09875199999999995;6025.0
-0.09873799999999999;6025.0
-0.09872400000000003;6025.0
-0.09870899999999994;6025.0
-0.09869499999999998;6025.0
-0.09868100000000002;6025.0
-0.09866599999999992;6025.0
-0.09865199999999996;6025.0
-0.098638;6025.0
-0.09862400000000004;6025.0
-0.09860899999999995;6025.0
-0.09859499999999999;6025.0
-0.09858100000000003;6025.0
-0.09856599999999993;6025.0
-0.09855199999999997;6025.0
-0.09853800000000001;6025.0
-0.09852299999999992;6025.0
-0.09850899999999996;6025.0
-0.098495;6025.0
-0.09848100000000004;6025.0
-0.09846599999999994;6025.0
-0.09845199999999998;6025.0
-0.09843800000000003;6025.0
-0.09842299999999993;6025.0
-0.09840899999999997;6025.0
-0.09839500000000001;6025.0
-0.09837999999999991;6025.0
-0.09836599999999995;6025.0
-0.098352;6025.0
-0.0983369999999999;6025.0
-0.09832299999999994;6025.0
-0.09830899999999998;6025.0
-0.09829500000000002;6025.0
-0.09827999999999992;6025.0
-0.09826599999999996;6025.0
-0.098252;6025.0
-0.09823699999999991;6025.0
-0.09822299999999995;6025.0
-0.09820899999999999;6025.0
-0.09819399999999989;6025.0
-0.09817999999999993;6025.0
-0.09816599999999998;6025.0
-0.09815200000000002;6025.0
-0.09813699999999992;6025.0
-0.09812399999999988;6025.0
-0.09810999999999992;6025.0
-0.09809500000000004;6025.0
-0.09808099999999986;6025.0
-0.0980669999999999;6025.0
-0.09805200000000003;6025.0
-0.09803800000000007;6025.0
-0.09802399999999989;6025.0
-0.09800900000000001;6025.0
-0.09799500000000005;6025.0
-0.09798099999999987;6025.0
-0.097966;6025.0
-0.09795200000000004;6025.0
-0.09793800000000008;6025.0
-0.0979239999999999;6025.0
-0.09790900000000002;6025.0
-0.09789500000000007;6025.0
-0.09788099999999988;6025.0
-0.09786600000000001;6025.0
-0.09785200000000005;6025.0
-0.09783799999999987;6025.0
-0.097823;6025.0
-0.09780900000000003;6025.0
-0.09779500000000008;6025.0
-0.0977809999999999;6025.0
-0.09776600000000002;6025.0
-0.09775200000000006;6025.0
-0.09773799999999988;6025.0
-0.097723;6025.0
-0.09770900000000005;6025.0
-0.09769499999999987;6025.0
-0.09767999999999999;6025.0
-0.09766600000000003;6025.0
-0.09765200000000007;6025.0
-0.09763699999999997;6025.0
-0.09762300000000002;6025.0
-0.09760900000000006;6025.0
-0.09759499999999988;6025.0
-0.09758;6025.0
-0.09756600000000004;6025.0
-0.09755199999999986;6025.0
-0.09753699999999998;6025.0
-0.09752300000000003;6025.0
-0.09750900000000007;6025.0
-0.09749399999999997;6025.0
-0.09748000000000001;6025.0
-0.09746600000000005;6025.0
-0.09745199999999987;6025.0
-0.09743799999999991;6025.0
-0.09742399999999996;6025.0
-0.09741;6025.0
-0.0973949999999999;6025.0
-0.09738099999999994;6025.0
-0.09736699999999998;6025.0
-0.09735199999999988;6025.0
-0.09733799999999992;6025.0
-0.09732399999999997;6025.0
-0.09730899999999987;6025.0
-0.09729499999999991;6025.0
-0.09728099999999995;6025.0
-0.09726600000000007;6025.0
-0.0972519999999999;6025.0
-0.09723799999999994;6025.0
-0.09722399999999998;6025.0
-0.09720899999999988;6025.0
-0.09719499999999992;6025.0
-0.09718099999999996;6025.0
-0.09716599999999986;6025.0
-0.0971519999999999;6025.0
-0.09713799999999995;6025.0
-0.09712300000000007;6025.0
-0.09710899999999989;6025.0
-0.09709499999999993;6125.0
-0.09708099999999997;6125.0
-0.09706599999999987;6125.0
-0.09705199999999992;6125.0
-0.09703799999999996;6125.0
-0.09702300000000008;6125.0
-0.0970089999999999;6125.0
-0.09699499999999994;6125.0
-0.09698000000000007;6125.0
-0.09696599999999989;6125.0
-0.09695199999999993;6125.0
-0.09693700000000005;6125.0
-0.09692299999999987;6125.0
-0.09690899999999991;6125.0
-0.09689499999999995;6125.0
-0.09688000000000008;6125.0
-0.0968659999999999;6125.0
-0.09685199999999994;6125.0
-0.09683700000000006;6125.0
-0.09682400000000002;6125.0
-0.09681000000000006;6125.0
-0.09679499999999996;6125.0
-0.096781;6125.0
-0.09676700000000005;6125.0
-0.09675199999999995;6125.0
-0.09673799999999999;6125.0
-0.09672400000000003;6125.0
-0.09671000000000007;6125.0
-0.09669499999999998;6125.0
-0.09668100000000002;6125.0
-0.09666700000000006;6125.0
-0.09665199999999996;6125.0
-0.096638;6125.0
-0.09662400000000004;6125.0
-0.09660899999999994;6125.0
-0.09659499999999999;6125.0
-0.09658100000000003;6125.0
-0.09656599999999993;6125.0
-0.09655199999999997;6125.0
-0.09653800000000001;6125.0
-0.09652400000000005;6125.0
-0.09650899999999996;6125.0
-0.096495;6125.0
-0.09648100000000004;6125.0
-0.09646599999999994;6125.0
-0.09645199999999998;6125.0
-0.09643800000000002;6125.0
-0.09642299999999993;6125.0
-0.09640899999999997;6125.0
-0.09639500000000001;6125.0
-0.09638100000000005;6125.0
-0.09636599999999995;6125.0
-0.096352;6125.0
-0.09633800000000003;6125.0
-0.09632299999999994;6125.0
-0.09630899999999998;6125.0
-0.09629500000000002;6125.0
-0.09627999999999992;6125.0
-0.09626599999999996;6125.0
-0.096252;6125.0
-0.0962369999999999;6125.0
-0.09622299999999995;6125.0
-0.09620899999999999;6125.0
-0.09619500000000003;6125.0
-0.09617999999999993;6125.0
-0.09616599999999997;6125.0
-0.09615200000000002;6125.0
-0.09613800000000006;6125.0
-0.09612399999999988;6125.0
-0.09610999999999992;6125.0
-0.09609500000000004;6125.0
-0.09608099999999986;6125.0
-0.0960669999999999;6125.0
-0.09605200000000003;6125.0
-0.09603800000000007;6125.0
-0.09602399999999989;6125.0
-0.09600999999999993;6125.0
-0.09599500000000005;6125.0
-0.09598099999999987;6125.0
-0.09596699999999991;6125.0
-0.09595200000000004;6125.0
-0.09593800000000008;6125.0
-0.0959239999999999;6125.0
-0.09590900000000002;6125.0
-0.09589500000000006;6125.0
-0.09588099999999988;6125.0
-0.095866;6125.0
-0.09585200000000005;6125.0
-0.09583799999999987;6125.0
-0.09582399999999991;6125.0
-0.09580900000000003;6125.0
-0.09579500000000007;6125.0
-0.0957809999999999;6125.0
-0.09576600000000002;6125.0
-0.09575200000000006;6125.0
-0.09573799999999988;6125.0
-0.095723;6125.0
-0.09570900000000004;6125.0
-0.09569499999999986;6125.0
-0.0956809999999999;6125.0
-0.09566600000000003;6125.0
-0.09565200000000007;6125.0
-0.09563799999999989;6125.0
-0.09562300000000001;6125.0
-0.09560900000000006;6125.0
-0.09559499999999987;6125.0
-0.09558;6125.0
-0.09556600000000004;6125.0
-0.09555200000000008;6125.0
-0.09553699999999998;6125.0
-0.09552300000000002;6125.0
-0.09550900000000007;6125.0
-0.09549499999999989;6125.0
-0.09548000000000001;6125.0
-0.09546600000000005;6125.0
-0.09545300000000001;6125.0
-0.09543799999999991;6125.0
-0.09542399999999995;6125.0
-0.09541;6125.0
-0.0953949999999999;6125.0
-0.09538099999999994;6125.0
-0.09536699999999998;6125.0
-0.09535199999999988;6125.0
-0.09533799999999992;6125.0
-0.09532399999999996;6125.0
-0.09531;6125.0
-0.09529499999999991;6125.0
-0.09528099999999995;6125.0
-0.09526699999999999;6125.0
-0.09525199999999989;6125.0
-0.09523799999999993;6125.0
-0.09522399999999998;6125.0
-0.09520899999999988;6125.0
-0.09519499999999992;6125.0
-0.09518099999999996;6125.0
-0.09516599999999986;6125.0
-0.0951519999999999;6125.0
-0.09513799999999994;6125.0
-0.09512399999999999;6125.0
-0.09510899999999989;6125.0
-0.09509499999999993;6125.0
-0.09508099999999997;6125.0
-0.09506599999999987;6125.0
-0.09505199999999991;6125.0
-0.09503799999999996;6125.0
-0.09502300000000008;6125.0
-0.0950089999999999;6125.0
-0.09499499999999994;6125.0
-0.09498099999999998;6125.0
-0.09496599999999988;6125.0
-0.09495199999999993;6125.0
-0.09493799999999997;6125.0
-0.09492299999999987;6125.0
-0.09490899999999991;6125.0
-0.09489499999999995;6125.0
-0.09488000000000008;6125.0
-0.0948659999999999;6125.0
-0.09485199999999994;6125.0
-0.09483700000000006;6125.0
-0.09482299999999988;6125.0
-0.09480899999999992;6125.0
-0.09479499999999996;6125.0
-0.094781;6125.0
-0.09476700000000005;6125.0
-0.09475299999999987;6125.0
-0.09473799999999999;6125.0
-0.09472400000000003;6125.0
-0.09471000000000007;6125.0
-0.09469499999999997;6125.0
-0.09468100000000002;6125.0
-0.09466700000000006;6125.0
-0.09465199999999996;6125.0
-0.094638;6125.0
-0.09462400000000004;6125.0
-0.09461000000000008;6125.0
-0.09459499999999998;6125.0
-0.09458100000000003;6125.0
-0.09456700000000007;6125.0
-0.09455199999999997;6125.0
-0.09453800000000001;6125.0
-0.09452400000000005;6125.0
-0.09450899999999995;6125.0
-0.094495;6125.0
-0.09448100000000004;6125.0
-0.09446700000000008;6125.0
-0.09445199999999998;6125.0
-0.09443800000000002;6125.0
-0.09442400000000006;6125.0
-0.09440899999999997;6125.0
-0.094395;6125.0
-0.09438100000000005;6125.0
-0.09436599999999995;6125.0
-0.09435199999999999;6125.0
-0.09433800000000003;6125.0
-0.09432299999999993;6125.0
-0.09430899999999998;6125.0
-0.09429500000000002;6125.0
-0.09428100000000006;6125.0
-0.09426599999999996;6125.0
-0.094252;6125.0
-0.09423800000000004;6125.0
-0.09422299999999995;6125.0
-0.09420899999999999;6125.0
-0.09419500000000003;6125.0
-0.09417999999999993;6125.0
-0.09416599999999997;6125.0
-0.09415200000000001;6125.0
-0.09413699999999992;6125.0
-0.09412299999999996;6125.0
-0.09410999999999992;6125.0
-0.09409599999999996;6125.0
-0.09408100000000008;6125.0
-0.0940669999999999;6125.0
-0.09405299999999994;6125.0
-0.09403800000000007;6125.0
-0.09402399999999989;6125.0
-0.09400999999999993;6125.0
-0.09399500000000005;6125.0
-0.09398099999999987;6125.0
-0.09396699999999991;6125.0
-0.09395200000000004;6125.0
-0.09393800000000008;6125.0
-0.0939239999999999;6125.0
-0.09390999999999994;6125.0
-0.09389500000000006;6125.0
-0.09388099999999988;6125.0
-0.09386699999999992;6125.0
-0.09385200000000005;6125.0
-0.09383799999999987;6125.0
-0.09382399999999991;6125.0
-0.09380900000000003;6125.0
-0.09379500000000007;6125.0
-0.09378099999999989;6125.0
-0.09376699999999993;6125.0
-0.09375200000000006;6125.0
