Time [s],Keyhole depth [mm]
-1.5,6.199309749784297
-1.4999568593615185,6.225194132873167
-1.4999137187230371,6.177739430543572
-1.4998705780845556,6.156169111302847
-1.4998274374460743,6.084987057808456
-1.4997842968075925,5.959879206212252
-1.4997411561691112,5.854184641932701
-1.4996980155306296,5.662208800690251
-1.4996548748921483,5.4702329594478
-1.499611734253667,5.286885245901639
-1.4995685936151855,5.140207075064711
-1.4995254529767041,5.047454702329595
-1.4994823123382226,4.864106988783434
-1.4994391716997413,4.6850733390854185
-1.4993960310612595,4.458584987057809
-1.4993528904227782,4.089732528041415
-1.4993097497842967,3.772648835202761
-1.4992666091458153,3.5440034512510787
-1.499223468507334,3.3261432269197586
-1.4991803278688525,3.2053494391717
-1.4991371872303711,3.0371009490940466
-1.4990940465918896,2.976704055220017
-1.4990509059534083,2.886108714408973
-1.4990077653149265,2.8925798101811906
-1.4989646246764452,2.825711820534944
-1.4989214840379637,2.756686798964625
-1.4988783433994823,2.7243313201035377
-1.498835202761001,2.6919758412424506
-1.4987920621225195,2.581967213114754
-1.4987489214840382,2.52588438308887
-1.4987057808455566,2.549611734253667
-1.4986626402070753,2.6013805004314063
-1.4986194995685935,2.6509922346850736
-1.4985763589301122,2.6790336496980154
-1.4985332182916307,2.7070750647109576
-1.4984900776531491,2.6553062985332185
-1.4984469370146678,2.722174288179465
-1.4984037963761863,2.6790336496980154
-1.498360655737705,2.7286453839516827
-1.4983175150992234,2.8106125970664366
-1.498274374460742,2.8106125970664366
-1.4982312338222603,2.698446937014668
-1.498188093183779,2.562553925798102
-1.4981449525452974,2.459016393442623
-1.4981018119068161,2.487057808455565
-1.4980586712683348,2.489214840379637
-1.4980155306298533,2.5
-1.497972389991372,2.4525452976704054
-1.4979292493528904,2.454702329594478
-1.497886108714409,2.4158757549611733
-1.4978429680759273,2.381363244176014
-1.497799827437446,2.344693701466782
-1.4977566867989645,2.344693701466782
-1.4977135461604831,2.2648835202761
-1.4976704055220018,2.204486626402071
-1.4976272648835203,2.159188955996549
-1.497584124245039,2.2260569456427954
-1.4975409836065574,2.223899913718723
-1.497497842968076,2.228213977566868
-1.4974547023295943,2.174288179465056
-1.497411561691113,2.0815358067299394
-1.4973684210526315,2.088006902502157
-1.4973252804141501,2.0729076790336496
-1.4972821397756688,2.0297670405522004
-1.4972389991371873,1.960742018981881
-1.497195858498706,2.051337359792925
-1.4971527178602244,2.1074201898188094
-1.4971095772217429,2.1052631578947367
-1.4970664365832613,2.0232959447799828
-1.4970232959447798,2.06427955133736
-1.4969801553062982,2.2217428817946505
-1.496937014667817,2.31665228645384
-1.4968938740293356,2.359792924935289
-1.496850733390854,2.31665228645384
-1.4968075927523727,2.223899913718723
-1.4967644521138912,2.204486626402071
-1.4967213114754099,2.159188955996549
-1.4966781708369286,2.182916307161346
-1.4966350301984468,2.137618636755824
-1.4965918895599655,2.09879206212252
-1.496548748921484,2.05565142364107
-1.4965056082830026,2.0232959447799828
-1.496462467644521,2.083692838654012
-1.4964193270060397,2.187230371009491
-1.4963761863675582,2.206643658326143
-1.4963330457290769,2.29939603106126
-1.4962899050905956,2.23899913718723
-1.4962467644521138,2.286453839516825
