Time [s],Keyhole depth [mm]
-1.5700172562553927,1.5293356341673856
-1.5699741156169111,1.5767903364969802
-1.5699309749784298,1.4322691975841242
-1.5698878343399483,1.4042277825711822
-1.569844693701467,1.4408973252804145
-1.5698015530629852,1.4559965487489217
-1.5697584124245039,1.3740293356341675
-1.5697152717860223,1.380500431406385
-1.569672131147541,1.326574633304573
-1.5696289905090595,1.3244176013805005
-1.569585849870578,1.305004314063848
-1.5695427092320966,1.3114754098360657
-1.569499568593615,1.2899050905953409
-1.5694564279551337,1.3783433994823124
-1.569413287316652,1.4063848144952549
-1.5693701466781707,1.412855910267472
-1.569327006039689,1.417169974115617
-1.5692838654012078,1.399913718723037
-1.5692407247627265,1.417169974115617
-1.569197584124245,1.449525452976704
-1.5691544434857636,1.4559965487489217
-1.569111302847282,1.5142364106988784
-1.5690681622088007,1.5724762726488353
-1.569025021570319,1.5552200172562554
-1.5689818809318377,1.5681622088006903
-1.5689387402933561,1.5552200172562554
-1.5688955996548748,1.5681622088006903
-1.5688524590163935,1.5056082830025883
-1.568809318377912,1.4559965487489217
-1.5687661777394306,1.4689387402933565
-1.568723037100949,1.36755823986195
-1.5686798964624677,1.352459016393443
-1.568636755823986,1.317946505608283
-1.5685936151855047,1.2467644521138914
-1.5685504745470231,1.2036238136324418
-1.5685073339085418,1.2295081967213115
-1.5684641932700605,1.285591026747196
-1.568421052631579,1.2187230371009492
-1.5683779119930976,1.285591026747196
-1.568334771354616,1.3006902502157032
-1.5682916307161348,1.3481449525452978
-1.568248490077653,1.3610871440897323
-1.5682053494391717,1.4106988783433996
-1.5681622088006901,1.4193270060396894
-1.5681190681622086,1.4452113891285592
-1.5680759275237273,1.4689387402933565
-1.5680327868852457,1.4797238999137188
-1.5679896462467644,1.5746333045729075
-1.5679465056082829,1.697584124245039
-1.5679033649698015,1.7040552200172563
-1.5678602243313198,1.5746333045729075
-1.5678170836928385,1.4840379637618637
-1.567773943054357,1.399913718723037
-1.5677308024158756,1.4387402933563418
-1.5676876617773943,1.4473684210526316
-1.5676445211389127,1.5163934426229508
-1.5676013805004314,1.6113028472821398
-1.5675582398619499,1.6069887834339949
